2000, 0.03491, 0.005
4000, 0.02334, 0.005
6000, 0.01872, 0.005
8000, 0.01611, 0.005
10000, 0.01451, 0.005
12000, 0.01449, 0.02
14000, 0.01139, 0.02
16000, 0.01009, 0.02
18000, 0.00929, 0.02
20000, 0.00852, 0.02
22000, 0.00794, 0.02
24000, 0.00760, 0.02
26000, 0.00725, 0.02
28000, 0.00691, 0.02
30000, 0.00678, 0.02
32000, 0.00647, 0.02
34000, 0.00628, 0.02
36000, 0.00610, 0.02
38000, 0.00595, 0.02
40000, 0.00582, 0.02
42000, 0.00561, 0.02
44000, 0.00551, 0.02
46000, 0.00546, 0.02
48000, 0.00527, 0.02
50000, 0.00519, 0.02
52000, 0.00509, 0.02
54000, 0.00501, 0.02
56000, 0.00489, 0.02
58000, 0.00485, 0.02
60000, 0.00467, 0.02
62000, 0.00461, 0.02
64000, 0.00454, 0.02
66000, 0.00455, 0.02
68000, 0.00436, 0.02
70000, 0.00437, 0.02
72000, 0.00432, 0.02
74000, 0.00425, 0.02
76000, 0.00417, 0.02
78000, 0.00402, 0.02
80000, 0.00411, 0.02
82000, 0.00404, 0.02
84000, 0.00392, 0.02
86000, 0.00396, 0.02
88000, 0.00384, 0.02
90000, 0.00376, 0.02
92000, 0.00379, 0.02
94000, 0.00374, 0.02
96000, 0.00368, 0.02
98000, 0.00366, 0.02
100000, 0.00358, 0.02
102000, 0.00354, 0.02
104000, 0.00349, 0.02
106000, 0.00350, 0.02
108000, 0.00343, 0.02
110000, 0.00335, 0.02
112000, 0.00334, 0.02
114000, 0.00337, 0.02
116000, 0.00328, 0.02
118000, 0.00328, 0.02
120000, 0.00323, 0.02
122000, 0.00313, 0.02
124000, 0.00313, 0.02
126000, 0.00315, 0.02
128000, 0.00315, 0.02
130000, 0.00309, 0.02
132000, 0.00309, 0.02
134000, 0.00306, 0.02
136000, 0.00302, 0.02
138000, 0.00306, 0.02
140000, 0.00297, 0.02
142000, 0.00294, 0.02
144000, 0.00290, 0.02
146000, 0.00293, 0.02
148000, 0.00292, 0.02
150000, 0.00287, 0.02
152000, 0.00289, 0.02
154000, 0.00283, 0.02
156000, 0.00280, 0.02
158000, 0.00276, 0.02
160000, 0.00281, 0.02
162000, 0.00281, 0.02
164000, 0.00273, 0.02
166000, 0.00271, 0.02
168000, 0.00263, 0.02
170000, 0.00260, 0.02
172000, 0.00261, 0.02
174000, 0.00267, 0.02
176000, 0.00266, 0.02
178000, 0.00259, 0.02
180000, 0.00256, 0.02
182000, 0.00261, 0.02
184000, 0.00251, 0.02
186000, 0.00259, 0.02
188000, 0.00256, 0.02
190000, 0.00250, 0.02
192000, 0.00245, 0.02
194000, 0.00244, 0.02
196000, 0.00242, 0.02
198000, 0.00245, 0.02
200000, 0.00249, 0.02
